
######### DDR #########

MEM:
all_lat_avg, 263.5609644459066 (131ns) ,
median, 130 (65ns) ,
p70, 240 (120ns),
p80, 350 (175ns),
p90, 620 (310ns),
p95, 930 (465ns),
p99, 1580 (790ns),

L3:
l3_miss_rate , 0.9933175937384465,
l3misses ,    429431378,

MPKI: 16.774183302914086,
IPC_ALL: 0.6745958626064731,

######### CXL #########

MEM:
all_lat_avg, 188.49185507577738 (94ns) ,
median, 140 (70ns) ,
p70, 150 (75ns),
p80, 170 (85ns),
p90, 260 (130ns),
p95, 510 (255ns),
p99, 830 (415ns),

L3:
l3_miss_rate , 0.993318922663997,
l3misses ,    429431138,

MPKI: 16.774002947012836,
IPC_ALL: 1.359377525155683,
