
######### DDR #########

MEM:
all_lat_avg, 239.0857862852063 (119ns) ,
median, 180 (90ns) ,
p70, 330 (165ns),
p80, 480 (240ns),
p90, 830 (415ns),
p95, 1230 (615ns),
p99, 1990 (995ns),

L3:
l3_miss_rate , 0.32078929295971115,
l3misses ,    737872303,

MPKI: 28.822276235419345,
IPC_ALL: 0.34067869622148816,

######### CXL #########

MEM:
all_lat_avg, 193.04590965792218 (96ns) ,
median, 140 (70ns) ,
p70, 170 (85ns),
p80, 190 (95ns),
p90, 280 (140ns),
p95, 540 (270ns),
p99, 890 (445ns),

L3:
l3_miss_rate , 0.42411416110445416,
l3misses ,    975992410,

MPKI: 38.12365028575004,
IPC_ALL: 0.5846924753216886,
